gene_name	gene_id	transcript_id	cds_start	cds_length	tx_length	cds_end
CLUH	ENSG00000132361.18	ENST00000651024.2	104	4047	5357	4150
MAST3	ENSG00000099308.13	ENST00000687212.1	16	4044	6020	4059
UBN2	ENSG00000157741.15	ENST00000473989.8	249	4044	14692	4292
PCDH11X	ENSG00000102290.23	ENST00000682573.1	689	4044	9022	4732
SPATA31A1	ENSG00000204849.10	ENST00000377647.6	63	4044	4259	4106
SPATA31A5	ENSG00000276581.3	ENST00000437823.5	30	4044	4226	4073
SPATA31A3	ENSG00000275969.3	ENST00000428649.5	30	4044	4223	4073
SPATA31A7	ENSG00000276040.5	ENST00000619167.2	30	4044	4223	4073
ELP1	ENSG00000070061.16	ENST00000675825.1	306	4041	5921	4346
ADGRF5	ENSG00000069122.19	ENST00000283296.12	251	4041	5761	4291
ZNF541	ENSG00000118156.13	ENST00000391901.8	312	4041	4886	4352
PRR36	ENSG00000183248.12	ENST00000618550.5	113	4041	4467	4153
MAPK8IP3	ENSG00000138834.15	ENST00000673691.1	158	4035	5685	4192
SYNGAP1	ENSG00000197283.18	ENST00000646630.1	201	4032	6015	4232
COBL	ENSG00000106078.19	ENST00000431948.6	186	4032	5556	4217
SPATA31A6	ENSG00000185775.10	ENST00000332857.7	30	4032	4214	4061
WDR19	ENSG00000157796.18	ENST00000399820.8	30	4029	4395	4058
PNPLA7	ENSG00000130653.16	ENST00000406427.6	206	4029	4675	4234
ERBB3	ENSG00000065361.17	ENST00000267101.8	137	4029	5615	4165
ZNF335	ENSG00000198026.8	ENST00000322927.3	133	4029	4454	4161
MYO3B	ENSG00000071909.19	ENST00000408978.9	142	4026	6213	4167
WASHC2A	ENSG00000099290.17	ENST00000282633.10	53	4026	4642	4078
WASHC2C	ENSG00000172661.20	ENST00000623400.4	53	4026	4642	4078
IGSF1	ENSG00000147255.19	ENST00000370903.8	161	4026	4476	4186
ACIN1	ENSG00000100813.15	ENST00000262710.5	329	4026	4935	4354
PLEKHG3	ENSG00000126822.18	ENST00000471182.7	40	4023	4702	4062
PCDH11Y	ENSG00000099715.15	ENST00000400457.3	735	4023	9039	4757
CLSPN	ENSG00000092853.14	ENST00000318121.8	109	4020	8512	4128
ASTN2	ENSG00000148219.18	ENST00000313400.9	120	4020	6878	4139
AOX1	ENSG00000138356.14	ENST00000374700.7	96	4017	4928	4112
FLT1	ENSG00000102755.13	ENST00000282397.9	286	4017	7123	4302
PFAS	ENSG00000178921.14	ENST00000314666.11	131	4017	5369	4147
MYPN	ENSG00000138347.17	ENST00000540630.6	2	4017	5580	4018
ADGRA2	ENSG00000020181.18	ENST00000412232.3	387	4017	6944	4403
CENPJ	ENSG00000151849.16	ENST00000381884.9	168	4017	5082	4184
IRS2	ENSG00000185950.9	ENST00000375856.5	531	4017	8156	4547
PDS5A	ENSG00000121892.15	ENST00000303538.13	496	4014	7131	4509
EMSY	ENSG00000158636.17	ENST00000695367.1	151	4014	7049	4164
KDM2B	ENSG00000089094.20	ENST00000377071.9	113	4011	5315	4123
WDR33	ENSG00000136709.12	ENST00000322313.9	184	4011	9490	4194
SH3TC1	ENSG00000125089.18	ENST00000457650.7	335	4011	4345	4345
GRIN2D	ENSG00000105464.4	ENST00000263269.4	507	4011	5511	4517
TDRD12	ENSG00000173809.18	ENST00000647536.1	61	4008	4215	4068
FAM205A	ENSG00000205108.6	ENST00000378788.4	62	4008	4248	4069
NCKAP5L	ENSG00000167566.17	ENST00000335999.7	191	4005	4882	4195
XDH	ENSG00000158125.10	ENST00000379416.4	77	4002	5715	4078
SOS1	ENSG00000115904.15	ENST00000402219.8	630	4002	8906	4631
MINK1	ENSG00000141503.17	ENST00000355280.11	245	3999	5017	4243
MYBBP1A	ENSG00000132382.15	ENST00000381556.6	63	3999	4104	4061
SOS2	ENSG00000100485.12	ENST00000216373.10	296	3999	5508	4294
CNTNAP2	ENSG00000174469.23	ENST00000361727.8	77	3996	9454	4072
NPHP3	ENSG00000113971.21	ENST00000337331.10	55	3993	5348	4047
PASK	ENSG00000115687.14	ENST00000358649.8	65	3993	4326	4057
MAP3K19	ENSG00000176601.14	ENST00000392915.7	687	3987	5032	4673
TNKS	ENSG00000173273.17	ENST00000310430.11	29	3984	9622	4012
ZNF644	ENSG00000122482.22	ENST00000370440.5	219	3984	5702	4202
CCDC171	ENSG00000164989.17	ENST00000380701.8	372	3981	6553	4352
IGSF22	ENSG00000179057.14	ENST00000513874.6	149	3981	4285	4129
ABCC4	ENSG00000125257.16	ENST00000645237.2	138	3978	5855	4115
ZMYM6	ENSG00000163867.17	ENST00000357182.9	206	3978	5122	4183
SCAND3	ENSG00000232040.4	ENST00000452236.3	582	3978	5935	4559
NFRKB	ENSG00000170322.15	ENST00000524794.5	122	3975	4351	4096
RAB11FIP5	ENSG00000135631.17	ENST00000486777.7	172	3975	6285	4146
SALL1	ENSG00000103449.13	ENST00000685868.1	133	3975	5223	4107
TTC21B	ENSG00000123607.16	ENST00000679840.1	112	3972	5722	4083
MROH7	ENSG00000184313.20	ENST00000421030.7	293	3972	4343	4264
WDR17	ENSG00000150627.16	ENST00000280190.8	157	3969	4705	4125
GIGYF2	ENSG00000204120.16	ENST00000409480.5	263	3966	5976	4228
SPAG9	ENSG00000008294.22	ENST00000262013.12	213	3966	8276	4178
ABCB11	ENSG00000073734.10	ENST00000650372.1	128	3966	6934	4093
KDM3A	ENSG00000115548.17	ENST00000409556.5	366	3966	4928	4331
ADGRA3	ENSG00000152990.14	ENST00000334304.10	283	3966	4577	4248
TTBK1	ENSG00000146216.14	ENST00000259750.9	283	3966	7130	4248
NCAN	ENSG00000130287.14	ENST00000252575.11	115	3966	6402	4080
TTC21A	ENSG00000168026.19	ENST00000431162.6	135	3963	4209	4097
MN1	ENSG00000169184.7	ENST00000302326.5	1214	3963	7814	5176
NEDD4	ENSG00000069869.17	ENST00000508342.5	301	3960	7235	4260
ENSG00000285130	ENSG00000285130.2	ENST00000642889.1	34	3960	4806	3993
CRACD	ENSG00000109265.15	ENST00000646253.2	331	3954	4287	4284
USP42	ENSG00000106346.12	ENST00000306177.10	94	3951	5090	4044
STK36	ENSG00000163482.12	ENST00000295709.8	220	3948	4873	4167
RPGRIP1L	ENSG00000103494.16	ENST00000647211.2	65	3948	7935	4012
RNF123	ENSG00000164068.16	ENST00000327697.11	87	3945	4255	4031
SYNRG	ENSG00000275066.5	ENST00000612223.5	64	3945	8141	4008
MAP3K15	ENSG00000180815.15	ENST00000338883.9	248	3942	4879	4189
ATXN2	ENSG00000204842.18	ENST00000550104.5	163	3942	4648	4104
ITIH6	ENSG00000102313.9	ENST00000218436.7	46	3942	4964	3987
RAD50	ENSG00000113522.14	ENST00000378823.8	349	3939	8272	4287
ARID4B	ENSG00000054267.22	ENST00000264183.9	461	3939	6022	4399
SCAF1	ENSG00000126461.15	ENST00000360565.8	41	3939	4222	3979
GAK	ENSG00000178950.18	ENST00000314167.9	130	3936	4461	4065
CNTNAP4	ENSG00000152910.19	ENST00000476707.1	140	3936	4355	4075
AFF2	ENSG00000155966.14	ENST00000370460.7	482	3936	13748	4417
ZNF521	ENSG00000198795.11	ENST00000538137.6	199	3936	4253	4134
CDHR2	ENSG00000074276.11	ENST00000510636.5	275	3933	4509	4207
DENND5B	ENSG00000170456.16	ENST00000536562.5	152	3930	4291	4081
ERBB4	ENSG00000178568.16	ENST00000342788.9	273	3927	12097	4199
EVC2	ENSG00000173040.13	ENST00000344408.10	47	3927	4382	3973
CNTNAP5	ENSG00000155052.15	ENST00000682447.1	365	3924	11219	4288
DENND5A	ENSG00000184014.9	ENST00000679568.1	51	3924	4796	3974
PTPRC	ENSG00000081237.21	ENST00000442510.8	142	3921	5357	4062
ACE	ENSG00000159640.17	ENST00000290866.10	35	3921	4962	3955
NRCAM	ENSG00000091129.22	ENST00000379028.8	526	3915	6701	4440
SF3B1	ENSG00000115524.17	ENST00000335508.11	30	3915	6463	3944
LTBP3	ENSG00000168056.18	ENST00000301873.11	401	3912	4833	4312
ZC3H4	ENSG00000130749.10	ENST00000253048.10	63	3912	6143	3974
CGNL1	ENSG00000128849.11	ENST00000281282.6	79	3909	7214	3987
RAPH1	ENSG00000173166.18	ENST00000630330.2	226	3909	4134	4134
ZNF532	ENSG00000074657.14	ENST00000336078.8	777	3906	6696	4682
DSPP	ENSG00000152591.15	ENST00000651931.1	121	3906	4331	4026
RTEL1	ENSG00000258366.12	ENST00000360203.11	326	3903	4615	4228
CYFIP2	ENSG00000055163.21	ENST00000698888.1	141	3903	4276	4043
ATP8B3	ENSG00000130270.16	ENST00000310127.10	240	3903	5095	4142
SALL3	ENSG00000256463.10	ENST00000537592.7	458	3903	6007	4360
TNN	ENSG00000120332.17	ENST00000239462.9	139	3900	5042	4038
TBC1D32	ENSG00000146350.14	ENST00000275159.11	51	3897	5224	3947
EHMT1	ENSG00000181090.21	ENST00000460843.6	25	3897	5095	3921
SEC24B	ENSG00000138802.11	ENST00000504968.6	99	3897	4066	3995
TBC1D4	ENSG00000136111.14	ENST00000377636.8	403	3897	7588	4299
AMBRA1	ENSG00000110497.15	ENST00000458649.6	420	3897	5351	4316
RRP12	ENSG00000052749.14	ENST00000536831.5	190	3894	4476	4083
COL20A1	ENSG00000101203.17	ENST00000422202.5	69	3894	8097	3962
INSRR	ENSG00000027644.5	ENST00000368195.4	497	3894	5200	4390
CADPS2	ENSG00000081803.17	ENST00000449022.7	124	3891	5768	4014
ANKFN1	ENSG00000153930.13	ENST00000653862.1	1	3891	4281	3891
MYO6	ENSG00000196586.17	ENST00000664640.1	233	3885	8642	4117
VWA3B	ENSG00000168658.20	ENST00000477737.6	230	3885	5064	4114
ASTN1	ENSG00000152092.16	ENST00000361833.7	37	3885	7138	3921
TRPS1	ENSG00000104447.13	ENST00000395715.8	553	3885	9964	4437
IFT122	ENSG00000163913.14	ENST00000296266.7	193	3879	4151	4071
SETDB1	ENSG00000143379.13	ENST00000692827.1	167	3879	4418	4045
UBE2O	ENSG00000175931.13	ENST00000319380.12	12	3879	5377	3890
ZNF423	ENSG00000102935.12	ENST00000563137.7	339	3879	7968	4217
PLCG1	ENSG00000124181.15	ENST00000244007.7	198	3876	5285	4073
PER1	ENSG00000179094.16	ENST00000317276.9	208	3873	4676	4080
KCNMA1	ENSG00000156113.25	ENST00000404771.8	134	3867	4014	4000
MAP3K6	ENSG00000142733.18	ENST00000357582.3	365	3867	4438	4231
EFCAB8	ENSG00000215529.13	ENST00000400522.9	95	3867	4197	3961
OPLAH	ENSG00000178814.17	ENST00000618853.5	94	3867	4020	3960
CNTNAP3B	ENSG00000154529.15	ENST00000377561.7	333	3867	7652	4199
SMC4	ENSG00000113810.16	ENST00000357388.8	106	3867	5116	3972
CNTNAP3	ENSG00000106714.18	ENST00000297668.11	104	3867	13150	3970
STIL	ENSG00000123473.17	ENST00000371877.8	156	3867	5019	4022
SH3TC2	ENSG00000169247.14	ENST00000515425.6	41	3867	26468	3907
PCARE	ENSG00000179270.7	ENST00000331664.6	263	3867	7303	4129
ARHGAP33	ENSG00000004777.19	ENST00000007510.9	96	3864	4352	3959
CDON	ENSG00000064309.16	ENST00000392693.7	129	3864	9138	3992
NEK1	ENSG00000137601.18	ENST00000507142.6	535	3861	6096	4395
ABCB4	ENSG00000005471.19	ENST00000265723.8	113	3861	4020	3973
RPGRIP1	ENSG00000092200.13	ENST00000400017.7	116	3861	4061	3976
ADCY5	ENSG00000173175.16	ENST00000699718.1	1	3861	4158	3861
ANKS1B	ENSG00000185046.21	ENST00000683438.2	700	3858	6322	4557
CRB2	ENSG00000148204.12	ENST00000373631.8	65	3858	5613	3922
CFAP57	ENSG00000243710.8	ENST00000610710.4	147	3852	4162	3998
PEX1	ENSG00000127980.16	ENST00000248633.9	86	3852	4369	3937
RAB11FIP1	ENSG00000156675.16	ENST00000330843.9	57	3852	8185	3908
PLEKHA5	ENSG00000052126.17	ENST00000429027.7	68	3849	4797	3916
BMS1	ENSG00000165733.8	ENST00000374518.6	70	3849	7759	3918
TBCD	ENSG00000141556.22	ENST00000684760.1	121	3846	7403	3966
TTLL5	ENSG00000119685.20	ENST00000298832.14	238	3846	4716	4083
INF2	ENSG00000203485.14	ENST00000675207.1	145	3846	7732	3990
ABCB1	ENSG00000085563.15	ENST00000265724.8	494	3843	4720	4336
KIAA0825	ENSG00000185261.16	ENST00000703867.1	258	3843	7256	4100
ZNF208	ENSG00000160321.16	ENST00000397126.9	150	3843	9088	3992
ARHGEF10L	ENSG00000074964.17	ENST00000361221.8	297	3840	4625	4136
SCAP	ENSG00000114650.21	ENST00000648151.1	231	3840	4188	4070
PPIP5K2	ENSG00000145725.21	ENST00000613674.4	384	3837	4933	4220
DCTN1	ENSG00000204843.13	ENST00000628224.3	275	3837	4455	4111
PAPLN	ENSG00000100767.17	ENST00000644200.2	94	3837	5889	3930
NPC1	ENSG00000141458.13	ENST00000269228.10	164	3837	4760	4000
AGTPBP1	ENSG00000135049.16	ENST00000337006.8	68	3837	4473	3904
DENND3	ENSG00000105339.11	ENST00000519811.6	120	3837	5527	3956
SIN3A	ENSG00000169375.17	ENST00000704310.1	1	3837	5342	3837
ATF7IP	ENSG00000171681.13	ENST00000544627.5	321	3837	4847	4157
SPATA13	ENSG00000182957.16	ENST00000424834.6	474	3834	8603	4307
CAMSAP3	ENSG00000076826.10	ENST00000446248.4	102	3831	4179	3932
PRDM16	ENSG00000142611.17	ENST00000270722.10	58	3831	8698	3888
ULK4	ENSG00000168038.11	ENST00000301831.9	137	3828	4294	3964
MYBPC3	ENSG00000134571.12	ENST00000545968.6	56	3825	4217	3880
MEI1	ENSG00000167077.13	ENST00000401548.8	37	3825	4016	3861
CACHD1	ENSG00000158966.16	ENST00000651257.2	617	3825	5933	4441
SYMPK	ENSG00000125755.19	ENST00000245934.12	103	3825	4077	3927
RASGRF1	ENSG00000058335.16	ENST00000419573.7	276	3822	6294	4097
DIAPH1	ENSG00000131504.18	ENST00000389054.8	87	3819	5735	3905
PLEKHA7	ENSG00000166689.18	ENST00000698836.1	15	3819	5389	3833
UPF2	ENSG00000151461.20	ENST00000397053.6	276	3819	5369	4094
DGKK	ENSG00000274588.2	ENST00000611977.2	148	3816	7494	3963
BCR	ENSG00000186716.21	ENST00000305877.13	453	3816	6783	4268
DHX9	ENSG00000135829.17	ENST00000367549.4	133	3813	4493	3945
MTUS1	ENSG00000129422.15	ENST00000262102.10	226	3813	6160	4038
FLII	ENSG00000177731.16	ENST00000327031.9	49	3810	4181	3858
CRAMP1	ENSG00000007545.16	ENST00000397412.8	300	3810	7972	4109
PCDH7	ENSG00000169851.16	ENST00000621961.2	1055	3810	8815	4864
STAG2	ENSG00000101972.20	ENST00000687852.1	437	3807	6143	4243
HDLBP	ENSG00000115677.18	ENST00000391976.6	294	3807	4489	4100
NOMO2	ENSG00000185164.15	ENST00000621364.4	73	3804	3921	3876
NOMO3	ENSG00000103226.19	ENST00000263012.10	67	3804	3911	3870
EHMT2	ENSG00000204371.12	ENST00000395728.7	1	3804	4129	3804
ZNF592	ENSG00000166716.10	ENST00000560079.7	332	3804	8187	4135
ENSG00000244255	ENSG00000244255.5	ENST00000456570.5	56	3801	3874	3856
TBC1D9	ENSG00000109436.8	ENST00000442267.3	341	3801	5554	4141
MTR	ENSG00000116984.15	ENST00000366577.10	413	3798	10547	4210
PLCG2	ENSG00000197943.12	ENST00000564138.6	182	3798	8666	3979
SGO2	ENSG00000163535.18	ENST00000357799.9	49	3798	4478	3846
VARS1	ENSG00000204394.13	ENST00000375663.8	241	3795	4111	4035
RGS22	ENSG00000132554.21	ENST00000360863.11	129	3795	4229	3923
RAPGEF1	ENSG00000107263.19	ENST00000683357.1	247	3792	6760	4038
IARS1	ENSG00000196305.19	ENST00000683565.1	178	3789	4535	3966
CSPP1	ENSG00000104218.16	ENST00000678542.1	38	3789	5011	3826
TPP2	ENSG00000134900.13	ENST00000376052.5	54	3789	5484	3842
TBC1D1	ENSG00000065882.18	ENST00000698857.1	359	3789	5985	4147
ARHGAP29	ENSG00000137962.13	ENST00000260526.11	203	3786	8952	3988
SYNPO2	ENSG00000172403.11	ENST00000307142.9	184	3786	7282	3969
SLC4A7	ENSG00000033867.17	ENST00000454389.6	259	3780	8079	4038
SLC4A3	ENSG00000114923.17	ENST00000273063.10	215	3780	4246	3994
TRAPPC10	ENSG00000160218.13	ENST00000291574.9	186	3780	6986	3965
AUTS2	ENSG00000158321.19	ENST00000342771.10	1180	3780	7469	4959
ITPRID2	ENSG00000138434.17	ENST00000431877.7	338	3780	5308	4117
STAG1	ENSG00000118007.13	ENST00000383202.7	268	3777	6062	4044
INPPL1	ENSG00000165458.15	ENST00000298229.7	219	3777	4789	3995
SKIC2	ENSG00000204351.13	ENST00000697840.1	23	3777	3822	3799
PPFIA2	ENSG00000139220.17	ENST00000549396.6	182	3774	5674	3955
L1CAM	ENSG00000198910.14	ENST00000370060.7	218	3774	5138	3991
ABCB5	ENSG00000004846.17	ENST00000404938.7	193	3774	5350	3966
ARID4A	ENSG00000032219.19	ENST00000355431.8	204	3774	5864	3977
IRS4	ENSG00000133124.12	ENST00000564206.2	66	3774	16461	3839
ATP13A3	ENSG00000133657.17	ENST00000645319.2	526	3771	7538	4296
KCNT1	ENSG00000107147.14	ENST00000487664.5	75	3771	3845	3845
FKBP15	ENSG00000119321.10	ENST00000693271.1	252	3771	5880	4022
GNPTAB	ENSG00000111670.16	ENST00000299314.12	285	3771	5720	4055
ERBB2	ENSG00000141736.14	ENST00000269571.10	176	3768	4557	3943
PER2	ENSG00000132326.13	ENST00000707129.1	498	3768	6596	4265
NEDD4L	ENSG00000049759.20	ENST00000635997.1	202	3765	4402	3966
CYFIP1	ENSG00000273749.5	ENST00000610365.4	192	3762	4515	3953
PHLDB2	ENSG00000144824.21	ENST00000431670.7	327	3762	6042	4088
BRPF1	ENSG00000156983.17	ENST00000672515.2	11	3762	4314	3772
ZNF729	ENSG00000196350.9	ENST00000601693.2	86	3759	3844	3844
CNGB1	ENSG00000070729.14	ENST00000251102.13	78	3756	5657	3833
ATP8B1	ENSG00000081923.15	ENST00000648908.2	344	3756	6161	4099
TAF2	ENSG00000064313.13	ENST00000686879.1	292	3756	5016	4047
SEC31A	ENSG00000138674.17	ENST00000505472.5	2	3756	4159	3757
AFF3	ENSG00000144218.21	ENST00000409579.5	234	3756	4342	3989
REV1	ENSG00000135945.10	ENST00000258428.8	212	3756	4731	3967
ADCY8	ENSG00000155897.10	ENST00000286355.10	577	3756	4421	4332
RELCH	ENSG00000134444.15	ENST00000256858.10	249	3753	5579	4001
ADGRG6	ENSG00000112414.15	ENST00000367609.8	324	3753	6822	4076
TBC1D9B	ENSG00000197226.13	ENST00000356834.7	39	3753	5173	3791
IGDCC4	ENSG00000103742.12	ENST00000352385.3	86	3753	6363	3838
ERCC6L	ENSG00000186871.7	ENST00000334463.4	117	3753	4218	3869
TJP2	ENSG00000119139.21	ENST00000636438.1	115	3750	4689	3864
ATP2B3	ENSG00000067842.19	ENST00000496610.2	445	3750	6825	4194
BRIP1	ENSG00000136492.10	ENST00000683039.1	323	3750	6102	4072
POM121	ENSG00000196313.13	ENST00000434423.5	28	3750	5842	3777
MAGEL2	ENSG00000254585.5	ENST00000650528.1	126	3750	4319	3875
APAF1	ENSG00000120868.14	ENST00000551964.6	588	3747	7201	4334
SASH1	ENSG00000111961.19	ENST00000367467.8	231	3744	7460	3974
NID1	ENSG00000116962.15	ENST00000264187.7	12	3744	5792	3755
LRRC53	ENSG00000162621.7	ENST00000294635.5	113	3744	4358	3856
RBP3	ENSG00000265203.2	ENST00000584701.2	123	3744	4290	3866
JARID2	ENSG00000008083.14	ENST00000341776.7	472	3741	6003	4212
SMARCC2	ENSG00000139613.12	ENST00000550164.6	23	3738	5090	3760
PITPNM1	ENSG00000110697.13	ENST00000356404.8	218	3735	4217	3952
ALPK1	ENSG00000073331.18	ENST00000458497.6	383	3735	4566	4117
TTBK2	ENSG00000128881.18	ENST00000267890.11	409	3735	11208	4143
MMS22L	ENSG00000146263.12	ENST00000275053.8	267	3732	8643	3998
ATP2B2	ENSG00000157087.20	ENST00000360273.7	442	3732	8964	4173
WNK4	ENSG00000126562.17	ENST00000246914.10	90	3732	4199	3821
ZFAT	ENSG00000066827.16	ENST00000377838.8	169	3732	4594	3900
SFI1	ENSG00000198089.16	ENST00000400288.7	133	3729	4031	3861
VWA5B2	ENSG00000145198.15	ENST00000691901.1	279	3729	4298	4007
IRS1	ENSG00000169047.6	ENST00000305123.6	1083	3729	9771	4811
NPHS1	ENSG00000161270.20	ENST00000378910.10	668	3726	5535	4393
SLC4A2	ENSG00000164889.15	ENST00000485713.5	1041	3726	4925	4766
CAMTA2	ENSG00000108509.21	ENST00000414043.7	155	3726	4589	3880
ZMYND8	ENSG00000101040.20	ENST00000536340.5	1	3726	5273	3726
IMPG2	ENSG00000081148.12	ENST00000193391.8	204	3726	8352	3929
PHKA1	ENSG00000067177.15	ENST00000373539.3	379	3723	4476	4101
NFASC	ENSG00000163531.17	ENST00000339876.11	331	3723	10336	4053
POLG	ENSG00000140521.18	ENST00000636937.2	945	3720	5095	4664
RIPOR1	ENSG00000039523.20	ENST00000422602.8	97	3720	3990	3816
ZBTB40	ENSG00000184677.18	ENST00000404138.5	512	3720	8992	4231
MECOM	ENSG00000085276.19	ENST00000651503.2	341	3720	5462	4060
ZEB2	ENSG00000169554.23	ENST00000636471.1	494	3720	9583	4213
JAG2	ENSG00000184916.9	ENST00000331782.8	357	3717	5773	4073
EDRF1	ENSG00000107938.18	ENST00000356792.9	100	3717	4483	3816
RASGRF2	ENSG00000113319.13	ENST00000265080.9	377	3714	8482	4090
CFAP61	ENSG00000089101.19	ENST00000245957.10	97	3714	4098	3810
ZNF687	ENSG00000143373.18	ENST00000324048.9	971	3714	5378	4684
PCDH9	ENSG00000184226.15	ENST00000377865.7	693	3714	6227	4406
PCDH1	ENSG00000156453.14	ENST00000287008.8	149	3714	4814	3862
USP40	ENSG00000085982.16	ENST00000678225.2	119	3711	5695	3829
ANKRD24	ENSG00000089847.13	ENST00000262970.9	1	3711	3711	3711
CAND2	ENSG00000144712.13	ENST00000456430.6	42	3711	4573	3752
PHKA2	ENSG00000044446.12	ENST00000379942.5	183	3708	5077	3890
BRD8	ENSG00000112983.18	ENST00000254900.10	17	3708	4028	3724
SMC1B	ENSG00000077935.17	ENST00000357450.9	33	3708	4233	3740
SLK	ENSG00000065613.15	ENST00000369755.4	607	3708	7827	4314
TAOK2	ENSG00000149930.18	ENST00000308893.9	817	3708	4937	4524
KLHDC7B	ENSG00000130487.9	ENST00000648057.3	346	3708	5125	4053
PLCB3	ENSG00000149782.13	ENST00000540288.5	104	3705	4469	3808
KIF4B	ENSG00000226650.6	ENST00000435029.6	106	3705	4387	3810
COPA	ENSG00000122218.17	ENST00000368069.7	79	3702	4664	3780
SMC1A	ENSG00000072501.19	ENST00000322213.9	55	3702	9710	3756
COBLL1	ENSG00000082438.18	ENST00000629362.2	125	3702	3868	3826
GRIN2C	ENSG00000161509.14	ENST00000293190.10	158	3702	4271	3859
KIF4A	ENSG00000090889.12	ENST00000374403.4	69	3699	4388	3767
ANO8	ENSG00000074855.11	ENST00000159087.7	186	3699	4178	3884
EHBP1	ENSG00000115504.15	ENST00000263991.9	483	3696	5165	4178
CFH	ENSG00000000971.17	ENST00000367429.9	76	3696	3962	3771
FBLN2	ENSG00000163520.14	ENST00000492059.5	383	3696	4193	4078
POLRMT	ENSG00000099821.14	ENST00000588649.7	26	3693	3771	3718
CAND1	ENSG00000111530.13	ENST00000545606.6	361	3693	11176	4053
POM121C	ENSG00000272391.6	ENST00000607367.5	1	3690	3690	3690
MMRN1	ENSG00000138722.10	ENST00000394980.5	320	3687	5217	4006
CDAN1	ENSG00000140326.13	ENST00000356231.4	27	3684	4657	3710
DHX38	ENSG00000140829.12	ENST00000268482.8	225	3684	4323	3908
RBM20	ENSG00000203867.8	ENST00000369519.4	120	3684	7293	3803
STAG3	ENSG00000066923.19	ENST00000615138.5	153	3681	4199	3833
ADAMTS14	ENSG00000138316.11	ENST00000373208.5	1	3681	5269	3681
ADAR	ENSG00000160710.18	ENST00000368474.9	181	3681	6610	3861
CTNND2	ENSG00000169862.21	ENST00000304623.13	594	3678	5888	4271
NHSL2	ENSG00000204131.11	ENST00000633930.2	244	3678	13633	3921
WDR11	ENSG00000120008.16	ENST00000263461.11	60	3675	4545	3734
CHL1	ENSG00000134121.10	ENST00000256509.7	476	3675	7856	4150
ADAMTS16	ENSG00000145536.15	ENST00000274181.7	139	3675	4979	3813
PUM1	ENSG00000134644.16	ENST00000373741.8	207	3675	4242	3881
PPFIA1	ENSG00000131626.19	ENST00000644155.1	1	3674	5996	3674
ATP8B2	ENSG00000143515.20	ENST00000672630.1	1	3672	5857	3672
NOMO1	ENSG00000103512.16	ENST00000287667.12	132	3669	4312	3800
SORCS3	ENSG00000156395.14	ENST00000369701.8	39	3669	5575	3707
DHX30	ENSG00000132153.15	ENST00000457607.1	13	3669	3748	3681
IQSEC1	ENSG00000144711.17	ENST00000648114.1	300	3669	4198	3968
NPIPB4	ENSG00000185864.19	ENST00000682606.1	216	3669	4020	3884
VCPIP1	ENSG00000175073.8	ENST00000310421.5	274	3669	9956	3942
ADAMTS18	ENSG00000140873.16	ENST00000282849.10	340	3666	5833	4005
REXO1	ENSG00000079313.15	ENST00000170168.9	126	3666	4609	3791
DGKH	ENSG00000102780.17	ENST00000337343.9	127	3663	17497	3789
EIF5B	ENSG00000158417.11	ENST00000617677.1	185	3663	4698	3847
DHX8	ENSG00000067596.12	ENST00000262415.8	64	3663	5549	3726
VWA5B1	ENSG00000158816.16	ENST00000375079.6	197	3663	3859	3859
ATP2B1	ENSG00000070961.17	ENST00000428670.8	465	3663	7062	4127
TRERF1	ENSG00000124496.13	ENST00000541110.5	570	3663	7646	4232
NRDC	ENSG00000078618.23	ENST00000354831.11	191	3660	3895	3850
ATP13A5	ENSG00000187527.12	ENST00000342358.9	29	3657	3938	3685
JAG1	ENSG00000101384.12	ENST00000254958.10	470	3657	5940	4126
AFF1	ENSG00000172493.23	ENST00000395146.9	267	3657	9261	3923
SMC3	ENSG00000108055.11	ENST00000361804.5	123	3654	5522	3776
SF3B3	ENSG00000189091.13	ENST00000302516.10	184	3654	9692	3837
CTC1	ENSG00000178971.17	ENST00000651323.1	21	3654	7039	3674
SRCIN1	ENSG00000277363.5	ENST00000621492.4	138	3654	4644	3791
GSE1	ENSG00000131149.19	ENST00000253458.12	71	3654	7385	3724
PLCB1	ENSG00000182621.19	ENST00000338037.11	387	3651	7088	4037
MAMDC4	ENSG00000177943.14	ENST00000445819.5	51	3651	3895	3701
PTPRO	ENSG00000151490.15	ENST00000281171.9	220	3651	6128	3870
SMG7	ENSG00000116698.22	ENST00000685780.1	311	3651	6204	3961
WWC3	ENSG00000047644.20	ENST00000380861.10	326	3651	6949	3976
WWC2	ENSG00000151718.16	ENST00000448232.6	1	3651	6356	3651
SPOCD1	ENSG00000134668.13	ENST00000360482.7	102	3651	3933	3752
AP3D1	ENSG00000065000.20	ENST00000643116.3	233	3648	5065	3880
HDAC6	ENSG00000094631.22	ENST00000423941.6	157	3648	4158	3804
HIPK3	ENSG00000110422.12	ENST00000303296.9	512	3648	7614	4159
ZSWIM6	ENSG00000130449.6	ENST00000252744.6	16	3648	5518	3663
GPR158	ENSG00000151025.11	ENST00000376351.4	421	3648	7023	4068
DGKD	ENSG00000077044.11	ENST00000264057.7	26	3645	6308	3670
TRPM4	ENSG00000130529.16	ENST00000252826.10	76	3645	4058	3720
IGSF3	ENSG00000143061.18	ENST00000369483.5	769	3645	7326	4413
ENSG00000283782	ENSG00000283782.2	ENST00000638568.2	600	3642	7956	4241
